,avg_unemployment,survey_year,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg,Appointment_Count,appointment_binary
5970,4.0,2024,Working,3,Environmental Thought & Practice - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,16,,0,1,0,0,0,0,0.0,0
5971,4.0,2024,Still Looking,1,Computer Science,Female,College and Graduate School of Arts & Sciences,0,4,76,,0,1,0,1,1,1,0.0,0
5972,4.0,2024,Working,3,Religious Studies,Female,College and Graduate School of Arts & Sciences,1,0,20,4.75,1,1,0,0,0,0,2.0,1
5973,4.0,2024,Working,3,Religious Studies,Female,College and Graduate School of Arts & Sciences,1,0,20,3.62,1,1,0,0,0,0,2.0,1
5974,4.0,2024,Continuing Education,2,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,0,32,4.0,0,1,1,0,0,0,0.0,0
5975,4.0,2024,Working,1,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,8,241,3.4,0,1,0,0,1,1,0.0,0
5976,4.0,2024,Working,1,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,8,241,3.91,0,1,0,0,1,1,0.0,0
5977,4.0,2024,Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1,0,3.86,0,1,0,0,0,0,0.0,0
5978,4.0,2024,Continuing Education,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1,20,,0,1,1,0,0,0,0.0,0
5979,4.0,2024,Working,3,Media Studies,Female,College and Graduate School of Arts & Sciences,1,4,35,,0,1,0,0,1,0,0.0,0
5980,4.0,2024,Continuing Education,3,Media Studies,Female,College and Graduate School of Arts & Sciences,0,0,3,,0,1,1,0,0,0,0.0,0
5981,4.0,2024,Continuing Education,0,American Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1,0,,0,0,1,0,0,0,0.0,0
5982,4.0,2024,Continuing Education,2,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,0,1,14,3.95,0,1,1,0,0,0,0.0,0
5983,4.0,2024,Working,1,Media Studies,Male,College and Graduate School of Arts & Sciences,1,0,11,,0,1,0,0,0,0,0.0,0
5984,4.0,2024,Working,2,Education - Social Studies Education,Male,School of Education and Human Development,1,1,0,,0,1,0,0,0,0,0.0,0
5985,4.0,2024,Continuing Education,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1,67,3.93,0,1,1,0,0,1,0.0,0
5986,4.0,2024,Working,2,Education - Counselor Education,Female,School of Education and Human Development,1,0,1,2.99,0,1,0,0,0,0,0.0,0
